nohup: ignoring input
/home/pavangole/.gemini/antigravity/scratch/splitwise-analytics/backend/venv/lib/python3.10/site-packages/google/api_core/_python_version_support.py:275: FutureWarning: You are using a Python version (3.10.12) which Google will stop supporting in new releases of google.api_core once it reaches its end of life (2026-10-04). Please upgrade to the latest Python version, or at least Python 3.11, to continue receiving updates for google.api_core past that date.
  warnings.warn(message, FutureWarning)
/home/pavangole/.gemini/antigravity/scratch/splitwise-analytics/backend/categorizer/gemini_client.py:7: FutureWarning: 

All support for the `google.generativeai` package has ended. It will no longer be receiving 
updates or bug fixes. Please switch to the `google.genai` package as soon as possible.
See README for more details:

https://github.com/google-gemini/deprecated-generative-ai-python/blob/main/README.md

  import google.generativeai as genai
 * Debug mode: on
[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
[33mPress CTRL+C to quit[0m
 * Restarting with stat
/home/pavangole/.gemini/antigravity/scratch/splitwise-analytics/backend/venv/lib/python3.10/site-packages/google/api_core/_python_version_support.py:275: FutureWarning: You are using a Python version (3.10.12) which Google will stop supporting in new releases of google.api_core once it reaches its end of life (2026-10-04). Please upgrade to the latest Python version, or at least Python 3.11, to continue receiving updates for google.api_core past that date.
  warnings.warn(message, FutureWarning)
/home/pavangole/.gemini/antigravity/scratch/splitwise-analytics/backend/categorizer/gemini_client.py:7: FutureWarning: 

All support for the `google.generativeai` package has ended. It will no longer be receiving 
updates or bug fixes. Please switch to the `google.genai` package as soon as possible.
See README for more details:

https://github.com/google-gemini/deprecated-generative-ai-python/blob/main/README.md

  import google.generativeai as genai
 * Debugger is active!
 * Debugger PIN: 486-505-795
127.0.0.1 - - [08/Feb/2026 13:06:47] "POST /api/sync HTTP/1.1" 200 -
127.0.0.1 - - [08/Feb/2026 13:06:55] "[36mGET / HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Feb/2026 13:06:55] "[36mGET /css/styles.css HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Feb/2026 13:06:55] "[36mGET /js/app.js HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Feb/2026 13:06:55] "GET /api/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [08/Feb/2026 13:06:56] "GET /api/auth/status HTTP/1.1" 200 -
127.0.0.1 - - [08/Feb/2026 13:06:56] "[36mGET / HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Feb/2026 13:06:56] "[36mGET /css/styles.css HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Feb/2026 13:06:56] "[36mGET /js/app.js HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Feb/2026 13:06:56] "GET /api/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [08/Feb/2026 13:06:57] "[36mGET / HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Feb/2026 13:06:57] "[36mGET /css/styles.css HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Feb/2026 13:06:57] "[36mGET /js/app.js HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Feb/2026 13:06:57] "GET /api/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [08/Feb/2026 13:06:57] "GET /api/auth/status HTTP/1.1" 200 -
127.0.0.1 - - [08/Feb/2026 13:06:58] "GET /api/auth/status HTTP/1.1" 200 -
127.0.0.1 - - [08/Feb/2026 13:07:00] "GET /api/analytics/monthly HTTP/1.1" 200 -
127.0.0.1 - - [08/Feb/2026 13:07:04] "[36mGET /css/styles.css HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Feb/2026 13:07:16] "[36mGET / HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Feb/2026 13:07:16] "[36mGET /css/styles.css HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Feb/2026 13:07:16] "[36mGET /js/app.js HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Feb/2026 13:07:16] "[36mGET / HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Feb/2026 13:07:16] "[36mGET /css/styles.css HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Feb/2026 13:07:16] "[36mGET /js/app.js HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Feb/2026 13:07:16] "GET /api/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [08/Feb/2026 13:07:17] "GET /api/auth/status HTTP/1.1" 200 -
127.0.0.1 - - [08/Feb/2026 13:08:22] "[36mGET / HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Feb/2026 13:08:22] "[36mGET /css/styles.css HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Feb/2026 13:08:22] "[36mGET /js/app.js HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Feb/2026 13:08:22] "GET /api/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [08/Feb/2026 13:08:22] "[36mGET / HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Feb/2026 13:08:22] "GET /api/auth/status HTTP/1.1" 200 -
127.0.0.1 - - [08/Feb/2026 13:08:23] "[36mGET /css/styles.css HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Feb/2026 13:08:23] "[36mGET /js/app.js HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Feb/2026 13:08:23] "GET /api/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [08/Feb/2026 13:08:24] "GET /api/auth/status HTTP/1.1" 200 -
